date,total_value,cum_dividend,price_value
2015-01-05,1000000.0,0.0,1000000.0
2015-01-06,1000000.0,0.0,1000000.0
2015-01-07,1000000.0,0.0,1000000.0
2015-01-08,1000000.0,0.0,1000000.0
2015-01-09,1000000.0,0.0,1000000.0
2015-01-12,1000000.0,0.0,1000000.0
2015-01-13,1000000.0,0.0,1000000.0
2015-01-14,1000000.0,0.0,1000000.0
2015-01-15,1000000.0,0.0,1000000.0
2015-01-16,1000000.0,0.0,1000000.0
2015-01-19,1000000.0,0.0,1000000.0
2015-01-20,1000000.0,0.0,1000000.0
2015-01-21,1000000.0,0.0,1000000.0
2015-01-22,1000000.0,0.0,1000000.0
2015-01-23,1000000.0,0.0,1000000.0
2015-01-26,1000000.0,0.0,1000000.0
2015-01-27,1000000.0,0.0,1000000.0
2015-01-28,1000000.0,0.0,1000000.0
2015-01-29,1000000.0,0.0,1000000.0
2015-01-30,1000000.0,0.0,1000000.0
2015-02-02,1000000.0,0.0,1000000.0
2015-02-03,1000000.0,0.0,1000000.0
2015-02-04,1000000.0,0.0,1000000.0
2015-02-05,1000000.0,0.0,1000000.0
2015-02-06,1000000.0,0.0,1000000.0
2015-02-09,1000000.0,0.0,1000000.0
2015-02-10,1000000.0,0.0,1000000.0
2015-02-11,1000000.0,0.0,1000000.0
2015-02-12,1000000.0,0.0,1000000.0
2015-02-13,1000000.0,0.0,1000000.0
2015-02-16,1000000.0,0.0,1000000.0
2015-02-17,1000000.0,0.0,1000000.0
2015-02-25,1000000.0,0.0,1000000.0
2015-02-26,1000000.0,0.0,1000000.0
2015-02-27,1000000.0,0.0,1000000.0
2015-03-02,1000000.0,0.0,1000000.0
2015-03-03,1000000.0,0.0,1000000.0
2015-03-04,1000000.0,0.0,1000000.0
2015-03-05,1000000.0,0.0,1000000.0
2015-03-06,1000000.0,0.0,1000000.0
2015-03-09,1000000.0,0.0,1000000.0
2015-03-10,1000000.0,0.0,1000000.0
2015-03-11,1000000.0,0.0,1000000.0
2015-03-12,1000000.0,0.0,1000000.0
2015-03-13,1000000.0,0.0,1000000.0
2015-03-16,1000000.0,0.0,1000000.0
2015-03-17,1000000.0,0.0,1000000.0
2015-03-18,1000000.0,0.0,1000000.0
2015-03-19,1000000.0,0.0,1000000.0
2015-03-20,1000000.0,0.0,1000000.0
2015-03-23,1000000.0,0.0,1000000.0
2015-03-24,1000000.0,0.0,1000000.0
2015-03-25,1000000.0,0.0,1000000.0
2015-03-26,1000000.0,0.0,1000000.0
2015-03-27,998036.36,0.0,998036.36
2015-03-30,998216.72,0.0,998216.72
2015-03-31,998306.9,0.0,998306.9
2015-03-31,998306.9,0.0,998306.9
2015-04-01,998397.08,0.0,998397.08
2015-04-02,998487.26,0.0,998487.26
2015-04-03,998938.15,0.0,998938.15
2015-04-07,999028.33,0.0,999028.33
2015-04-08,999118.51,0.0,999118.51
2015-04-09,999208.69,0.0,999208.69
2015-04-10,999479.23,0.0,999479.23
2015-04-13,999569.41,0.0,999569.41
2015-04-14,999659.58,0.0,999659.58
2015-04-15,1000020.3,0.0,1000020.3
2015-04-16,1000110.48,0.0,1000110.48
2015-04-17,1000471.2,0.0,1000471.2
2015-04-20,1000651.55,0.0,1000651.55
2015-04-21,1000741.73,0.0,1000741.73
2015-04-22,1000831.91,0.0,1000831.91
2015-04-23,1000922.09,0.0,1000922.09
2015-04-24,1001192.63,0.0,1001192.63
2015-04-27,1001282.81,0.0,1001282.81
2015-04-28,1001282.81,0.0,1001282.81
2015-04-29,1001372.99,0.0,1001372.99
2015-04-30,1001733.7,0.0,1001733.7
2015-05-04,1001823.88,0.0,1001823.88
2015-05-05,1001914.06,0.0,1001914.06
2015-05-06,1002004.24,0.0,1002004.24
2015-05-07,1002094.42,0.0,1002094.42
2015-05-08,1002364.96,0.0,1002364.96
2015-05-11,1002455.14,0.0,1002455.14
2015-05-12,1002545.32,0.0,1002545.32
2015-05-13,1002635.5,0.0,1002635.5
2015-05-14,1002725.68,0.0,1002725.68
2015-05-15,1002996.21,0.0,1002996.21
2015-05-18,1003086.39,0.0,1003086.39
2015-05-19,1003176.57,0.0,1003176.57
2015-05-20,1003266.75,0.0,1003266.75
2015-05-21,1003356.93,0.0,1003356.93
2015-05-22,1003627.47,0.0,1003627.47
2015-05-25,1003807.82,0.0,1003807.82
2015-05-26,1003898.0,0.0,1003898.0
2015-05-27,1004078.36,0.0,1004078.36
2015-05-28,1004168.54,0.0,1004168.54
2015-05-29,1004529.26,0.0,1004529.26
2015-06-01,1004619.44,0.0,1004619.44
2015-06-02,1004709.62,0.0,1004709.62
2015-06-03,1004799.8,0.0,1004799.8
2015-06-04,1004889.97,0.0,1004889.97
2015-06-05,1005070.33,0.0,1005070.33
2015-06-08,1005070.33,0.0,1005070.33
2015-06-09,1005160.51,0.0,1005160.51
2015-06-10,1005160.51,0.0,1005160.51
2015-06-11,1005250.69,0.0,1005250.69
2015-06-12,1005611.41,0.0,1005611.41
2015-06-15,1005611.41,0.0,1005611.41
2015-06-16,1005701.59,0.0,1005701.59
2015-06-17,1005791.77,0.0,1005791.77
2015-06-18,1005881.94,0.0,1005881.94
