date,total_value,cum_dividend,price_value
2019-01-02,1000000.0,0.0,1000000.0
2019-01-03,1000000.0,0.0,1000000.0
2019-01-04,1000000.0,0.0,1000000.0
2019-01-07,1000000.0,0.0,1000000.0
2019-01-08,1000000.0,0.0,1000000.0
2019-01-09,1000000.0,0.0,1000000.0
2019-01-10,1000000.0,0.0,1000000.0
2019-01-11,1000000.0,0.0,1000000.0
2019-01-14,1000000.0,0.0,1000000.0
2019-01-15,1000000.0,0.0,1000000.0
2019-01-16,1000000.0,0.0,1000000.0
2019-01-17,1000000.0,0.0,1000000.0
2019-01-18,1000000.0,0.0,1000000.0
2019-01-21,1000000.0,0.0,1000000.0
2019-01-22,1000000.0,0.0,1000000.0
2019-01-23,1000000.0,0.0,1000000.0
2019-01-24,1000000.0,0.0,1000000.0
2019-01-25,1000000.0,0.0,1000000.0
2019-01-28,1000000.0,0.0,1000000.0
2019-01-29,1000000.0,0.0,1000000.0
2019-01-30,1000000.0,0.0,1000000.0
2019-01-31,1000000.0,0.0,1000000.0
2019-02-01,1000000.0,0.0,1000000.0
2019-02-11,1000000.0,0.0,1000000.0
2019-02-12,1000000.0,0.0,1000000.0
2019-02-13,1000000.0,0.0,1000000.0
2019-02-14,1000000.0,0.0,1000000.0
2019-02-15,1000000.0,0.0,1000000.0
2019-02-18,1000000.0,0.0,1000000.0
2019-02-19,1000000.0,0.0,1000000.0
2019-02-20,1000000.0,0.0,1000000.0
2019-02-21,1000000.0,0.0,1000000.0
2019-02-22,1000000.0,0.0,1000000.0
2019-02-25,1000000.0,0.0,1000000.0
2019-02-26,1000000.0,0.0,1000000.0
2019-02-27,1000000.0,0.0,1000000.0
2019-02-28,1000000.0,0.0,1000000.0
2019-03-01,1000000.0,0.0,1000000.0
2019-03-04,1000000.0,0.0,1000000.0
2019-03-05,1000000.0,0.0,1000000.0
2019-03-06,1000000.0,0.0,1000000.0
2019-03-07,1000000.0,0.0,1000000.0
2019-03-08,1000000.0,0.0,1000000.0
2019-03-11,1000000.0,0.0,1000000.0
2019-03-12,1000000.0,0.0,1000000.0
2019-03-13,1000000.0,0.0,1000000.0
2019-03-14,1000000.0,0.0,1000000.0
2019-03-15,1000000.0,0.0,1000000.0
2019-03-18,1000000.0,0.0,1000000.0
2019-03-19,1000000.0,0.0,1000000.0
2019-03-20,1000000.0,0.0,1000000.0
2019-03-21,1000000.0,0.0,1000000.0
2019-03-22,1000000.0,0.0,1000000.0
2019-03-25,1000000.0,0.0,1000000.0
2019-03-26,1000000.0,0.0,1000000.0
2019-03-27,1000000.0,0.0,1000000.0
2019-03-28,1000000.0,0.0,1000000.0
2019-03-29,999802.07,0.0,999802.07
2019-04-01,1001774.07,0.0,1001774.07
2019-04-02,1002094.07,0.0,1002094.07
2019-04-03,1002947.07,0.0,1002947.07
2019-04-04,1005417.07,0.0,1005417.07
2019-04-08,1005080.07,0.0,1005080.07
2019-04-09,1004369.07,0.0,1004369.07
2019-04-10,1003960.07,0.0,1003960.07
2019-04-11,1003214.07,0.0,1003214.07
2019-04-12,1003143.07,0.0,1003143.07
2019-04-15,1004920.07,0.0,1004920.07
2019-04-16,1009167.07,0.0,1009167.07
2019-04-17,1009469.07,0.0,1009469.07
2019-04-18,1007639.07,0.0,1007639.07
2019-04-19,1008208.07,0.0,1008208.07
2019-04-22,1005098.07,0.0,1005098.07
2019-04-23,1005062.07,0.0,1005062.07
2019-04-24,1005204.07,0.0,1005204.07
2019-04-25,1003924.07,0.0,1003924.07
2019-04-26,1003249.07,0.0,1003249.07
2019-04-29,1005115.07,0.0,1005115.07
2019-04-30,1005417.07,0.0,1005417.07
2019-05-06,1002557.07,0.0,1002557.07
2019-05-07,1001739.07,0.0,1001739.07
2019-05-08,1000406.07,0.0,1000406.07
2019-05-09,999002.07,0.0,999002.07
2019-05-10,1000513.07,0.0,1000513.07
2019-05-13,999606.07,0.0,999606.07
2019-05-14,999144.07,0.0,999144.07
2019-05-15,1000299.07,0.0,1000299.07
2019-05-16,1000335.07,0.0,1000335.07
2019-05-17,999589.07,0.0,999589.07
2019-05-20,1000229.07,0.0,1000229.07
2019-05-21,1000780.07,0.0,1000780.07
2019-05-22,1000727.07,0.0,1000727.07
2019-05-23,1000585.07,0.0,1000585.07
2019-05-24,1001385.07,0.0,1001385.07
2019-05-27,1000798.07,0.0,1000798.07
2019-05-28,1001118.07,0.0,1001118.07
2019-05-29,1000585.07,0.0,1000585.07
2019-05-30,1000976.07,0.0,1000976.07
2019-05-31,1000371.07,0.0,1000371.07
2019-06-03,1001385.07,0.0,1001385.07
2019-06-04,1002149.07,0.0,1002149.07
2019-06-05,1002984.07,0.0,1002984.07
2019-06-06,1002717.07,0.0,1002717.07
2019-06-10,1004014.07,0.0,1004014.07
2019-06-11,1004245.07,0.0,1004245.07
2019-06-12,1003623.07,0.0,1003623.07
2019-06-13,1003143.07,0.0,1003143.07
2019-06-14,1003232.07,0.0,1003232.07
2019-06-17,1003516.07,0.0,1003516.07
2019-06-18,1004155.07,0.0,1004155.07
2019-06-19,1005292.07,0.0,1005292.07
2019-06-20,1006394.07,0.0,1006394.07
2019-06-21,1005560.07,0.0,1005560.07
2019-06-24,1006040.07,0.0,1006040.07
2019-06-25,1004885.07,0.0,1004885.07
2019-06-26,1005347.07,0.0,1005347.07
2019-06-27,1006094.07,0.0,1006094.07
