date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-06-26,511880.SH,银华日利,buy,102.181,9600,980939.0,980.94,闲置现金扫入,现金管理
2015-09-25,511880.SH,银华日利,sell,102.627,800,82101.69,164.2,释放现金用于调仓,现金管理
2015-09-25,601939.SH,建设银行,buy,5.295,17500,92667.57,92.67,新买入，评分75(✅ 积极布局)，股息率5.41%，目标权重9.2%,弱周期红利
2015-09-25,511880.SH,银华日利,sell,102.627,1700,174466.09,348.93,释放现金用于调仓,现金管理
2015-09-25,000651.SZ,格力电器,buy,16.106,11200,180388.21,180.39,新买入，评分88(🔥 大胆攒股)，股息率17.71%，目标权重18.0%,消费成长红利
2015-09-25,511880.SH,银华日利,sell,102.627,800,82101.69,164.2,释放现金用于调仓,现金管理
2015-09-25,601988.SH,中国银行,buy,3.834,20100,77059.98,77.06,新买入，评分68(✅ 积极布局)，股息率4.71%，目标权重7.7%,弱周期红利
2015-09-25,511880.SH,银华日利,sell,102.627,1400,143677.96,287.36,释放现金用于调仓,现金管理
2015-09-25,601288.SH,农业银行,buy,3.113,44600,138844.71,138.84,新买入，评分81(🔥 大胆攒股)，股息率5.56%，目标权重13.8%,弱周期红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,600011.SH,华能国际,buy,8.639,5800,50104.05,50.1,新买入，评分54(👀 观察等待)，股息率4.18%，目标权重5.0%,周期资源红利
2015-09-25,511880.SH,银华日利,sell,102.627,900,92364.4,184.73,释放现金用于调仓,现金管理
2015-09-25,601398.SH,工商银行,buy,4.454,20800,92652.56,92.65,新买入，评分75(✅ 积极布局)，股息率5.45%，目标权重9.2%,弱周期红利
2015-09-25,511880.SH,银华日利,sell,102.627,500,51313.56,102.63,释放现金用于调仓,现金管理
2015-09-25,601088.SH,中国神华,buy,14.925,3300,49252.2,49.25,新买入，评分52(👀 观察等待)，股息率4.71%，目标权重5.0%,周期资源红利
2015-09-25,511880.SH,银华日利,sell,102.627,500,51313.56,102.63,释放现金用于调仓,现金管理
2015-09-25,600690.SH,海尔智家,buy,9.439,5300,50028.98,50.03,新买入，评分56(👀 观察等待)，股息率4.96%，目标权重5.0%,消费成长红利
2015-12-25,000651.SZ,格力电器,sell,22.977,2400,55144.8,110.29,减仓，评分88(🔥 大胆攒股)，权重23.2%→18.0%,消费成长红利
2015-12-25,601988.SH,中国银行,sell,4.056,6400,25958.02,51.92,减仓，评分63(👀 观察等待)，权重7.3%→5.0%,弱周期红利
2015-12-25,600011.SH,华能国际,sell,8.971,5800,52031.92,104.06,清仓，评分48(⏸️ 暂缓)，低于观察阈值，当前权重4.7%,周期资源红利
2015-12-25,601398.SH,工商银行,buy,4.655,7800,36306.27,36.31,加仓，评分74(✅ 积极布局)，股息率5.22%，权重8.7%→12.0%,弱周期红利
2015-12-25,511880.SH,银华日利,buy,103.512,800,82809.54,82.81,闲置现金扫入,现金管理
2016-03-25,601288.SH,农业银行,sell,3.157,21000,66293.64,132.59,减仓，评分75(✅ 积极布局)，权重13.7%→7.3%,弱周期红利
2016-03-25,601939.SH,建设银行,buy,4.845,5600,27131.1,27.13,加仓，评分82(🔥 大胆攒股)，股息率5.91%，权重8.3%→10.9%,弱周期红利
2016-03-25,601988.SH,中国银行,buy,3.363,8400,28252.22,28.25,加仓，评分75(✅ 积极布局)，股息率5.37%，权重4.5%→7.3%,弱周期红利
2016-03-25,511880.SH,银华日利,sell,103.965,100,10396.45,20.79,释放现金用于调仓,现金管理
2016-03-25,600886.SH,国投电力,buy,6.747,5500,37107.07,37.11,新买入，评分57(👀 观察等待)，股息率4.07%，目标权重3.6%,弱周期红利
2016-03-25,511880.SH,银华日利,sell,103.965,600,62378.71,124.76,释放现金用于调仓,现金管理
2016-03-25,600011.SH,华能国际,buy,7.788,7800,60744.68,60.74,新买入，评分56(👀 观察等待)，股息率4.64%，目标权重6.0%,周期资源红利
2016-03-25,511880.SH,银华日利,sell,103.965,600,62378.71,124.76,释放现金用于调仓,现金管理
2016-03-25,600027.SH,华电国际,buy,5.596,10900,60991.93,60.99,新买入，评分55(👀 观察等待)，股息率4.59%，目标权重6.0%,周期资源红利
2016-06-24,601398.SH,工商银行,sell,4.396,10000,43956.0,87.91,减仓，评分77(✅ 积极布局)，权重12.3%→8.0%,弱周期红利
2016-06-24,511880.SH,银华日利,sell,104.605,100,10460.54,20.92,释放现金用于调仓,现金管理
2016-06-24,000333.SZ,美的集团,buy,22.853,2600,59417.36,59.42,新买入，评分57(👀 观察等待)，股息率5.26%，目标权重6.0%,消费成长红利
2016-06-24,511880.SH,银华日利,sell,104.605,500,52302.68,104.61,释放现金用于调仓,现金管理
2016-06-24,600027.SH,华电国际,buy,4.975,10500,52237.18,52.24,加仓，评分76(✅ 积极布局)，股息率6.04%，权重5.3%→10.4%,周期资源红利
2016-09-30,000651.SZ,格力电器,sell,22.198,2700,59934.01,119.87,减仓，评分79(✅ 积极布局)，权重17.5%→12.0%,消费成长红利
2016-09-30,000333.SZ,美的集团,sell,26.983,2600,70155.77,140.31,清仓，评分45(⏸️ 暂缓)，低于观察阈值，当前权重6.3%,消费成长红利
2016-09-30,601088.SH,中国神华,sell,15.185,3300,50109.84,100.22,清仓，评分22(🚫 回避)，低于观察阈值，当前权重4.5%,周期资源红利
2016-09-30,600690.SH,海尔智家,sell,10.13,5300,53688.26,107.38,清仓，评分24(🚫 回避)，低于观察阈值，当前权重4.8%,消费成长红利
2016-09-30,601988.SH,中国银行,buy,3.373,7300,24625.6,24.63,加仓，评分66(✅ 积极布局)，股息率5.19%，权重6.7%→8.9%,弱周期红利
2016-09-30,601288.SH,农业银行,buy,3.133,8000,25065.04,25.07,加仓，评分67(✅ 积极布局)，股息率5.33%，权重6.6%→8.9%,弱周期红利
2016-09-30,600011.SH,华能国际,buy,7.047,11200,78926.85,78.93,加仓，评分81(🔥 大胆攒股)，股息率6.68%，权重4.9%→12.0%,周期资源红利
2016-09-30,511880.SH,银华日利,buy,105.569,1200,126682.29,126.68,闲置现金扫入,现金管理
2016-12-30,601939.SH,建设银行,sell,5.435,10500,57062.88,114.13,减仓，评分60(👀 观察等待)，权重11.0%→6.0%,弱周期红利
2016-12-30,601988.SH,中国银行,sell,3.437,9500,32647.32,65.29,减仓，评分60(👀 观察等待)，权重8.9%→6.0%,弱周期红利
2016-12-30,600886.SH,国投电力,sell,6.663,5500,36648.32,73.3,清仓，评分49(⏸️ 暂缓)，低于观察阈值，当前权重3.2%,弱周期红利
2016-12-30,601288.SH,农业银行,buy,3.103,12400,38478.44,38.48,加仓，评分67(✅ 积极布局)，股息率5.38%，权重8.6%→12.0%,弱周期红利
2016-12-30,601398.SH,工商银行,buy,4.414,12300,54297.24,54.3,加仓，评分66(✅ 积极布局)，股息率5.29%，权重7.2%→12.0%,弱周期红利
2016-12-30,511880.SH,银华日利,buy,106.16,300,31848.12,31.85,闲置现金扫入,现金管理
2017-03-31,000651.SZ,格力电器,sell,31.668,6100,193176.63,386.35,清仓，评分46(⏸️ 暂缓)，低于观察阈值，当前权重15.8%,消费成长红利
2017-03-31,601288.SH,农业银行,sell,3.337,25600,85418.5,170.84,减仓，评分60(👀 观察等待)，权重12.0%→5.0%,弱周期红利
2017-03-31,601398.SH,工商银行,sell,4.835,18200,87999.91,176.0,减仓，评分59(👀 观察等待)，权重12.2%→5.0%,弱周期红利
2017-03-31,511880.SH,银华日利,buy,106.972,3500,374400.69,374.4,闲置现金扫入,现金管理
2017-06-30,600011.SH,华能国际,sell,7.333,19000,139320.54,278.64,清仓，评分33(🚫 回避)，低于观察阈值，当前权重11.2%,周期资源红利
2017-06-30,600027.SH,华电国际,buy,4.835,9500,45930.88,45.93,加仓，评分77(✅ 积极布局)，股息率6.21%，权重8.3%→12.0%,周期资源红利
